,Glaspercentage,Isolatie/infiltratie,g-waarde glas,Spuiventilatie,Zonwering,Oriëntatie,Woningtype,Klimaatbestand,Ruimtetype,GTO
251,0.7,Goed,0.3,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,8
253,0.3,Slecht,0.6,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
255,0.5,Slecht,0.6,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,11
257,0.7,Slecht,0.6,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,33
259,0.3,Matig,0.6,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
261,0.5,Matig,0.6,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,16
263,0.7,Matig,0.6,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,39
265,0.3,Goed,0.6,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
267,0.5,Goed,0.6,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,22
269,0.7,Goed,0.6,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,59
271,0.3,Slecht,0.3,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
273,0.5,Slecht,0.3,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
275,0.7,Slecht,0.3,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
277,0.3,Matig,0.3,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
279,0.5,Matig,0.3,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
281,0.7,Matig,0.3,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
283,0.3,Goed,0.3,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
285,0.5,Goed,0.3,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
287,0.7,Goed,0.3,21:00 tot 7:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,4
289,0.3,Slecht,0.6,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,55
291,0.5,Slecht,0.6,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,73
293,0.7,Slecht,0.6,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,97
295,0.3,Matig,0.6,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,65
297,0.5,Matig,0.6,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,86
299,0.7,Matig,0.6,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,116
301,0.3,Goed,0.6,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,80
303,0.5,Goed,0.6,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,109
305,0.7,Goed,0.6,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,148
307,0.3,Slecht,0.3,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,42
309,0.5,Slecht,0.3,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,49
311,0.7,Slecht,0.3,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,58
313,0.3,Matig,0.3,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,48
315,0.5,Matig,0.3,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,55
317,0.7,Matig,0.3,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,67
319,0.3,Goed,0.3,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,63
321,0.5,Goed,0.3,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,68
323,0.7,Goed,0.3,8:00 tot 22:00,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,80
325,0.3,Slecht,0.6,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
327,0.5,Slecht,0.6,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
329,0.7,Slecht,0.6,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,8
331,0.3,Matig,0.6,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
333,0.5,Matig,0.6,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
335,0.7,Matig,0.6,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,10
337,0.3,Goed,0.6,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
339,0.5,Goed,0.6,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,8
341,0.7,Goed,0.6,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,21
343,0.3,Slecht,0.3,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
345,0.5,Slecht,0.3,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
347,0.7,Slecht,0.3,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
349,0.3,Matig,0.3,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
351,0.5,Matig,0.3,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
353,0.7,Matig,0.3,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
355,0.3,Goed,0.3,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
357,0.5,Goed,0.3,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
359,0.7,Goed,0.3,TO-juli,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
361,0.3,Slecht,0.6,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
363,0.5,Slecht,0.6,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
365,0.7,Slecht,0.6,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,8
367,0.3,Matig,0.6,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
369,0.5,Matig,0.6,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
371,0.7,Matig,0.6,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,9
373,0.3,Goed,0.6,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
375,0.5,Goed,0.6,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,3
