,Glaspercentage,Isolatie/infiltratie,g-waarde glas,Spuiventilatie,Zonwering,Woningtype,Oriëntatie,Klimaatbestand,Ruimtetype,GTO
201,0.5,Slecht,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,49
202,0.7,Slecht,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
203,0.7,Slecht,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,58
204,0.3,Matig,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
205,0.3,Matig,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,48
206,0.5,Matig,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
207,0.5,Matig,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,55
208,0.7,Matig,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
209,0.7,Matig,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,67
210,0.3,Goed,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
211,0.3,Goed,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,63
212,0.5,Goed,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
213,0.5,Goed,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,68
214,0.7,Goed,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
215,0.7,Goed,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,80
216,0.3,Slecht,0.6,TO-juli,Buiten,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
217,0.3,Slecht,0.6,TO-juli,Buiten,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
218,0.5,Slecht,0.6,TO-juli,Buiten,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
219,0.5,Slecht,0.6,TO-juli,Buiten,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,11
